八,eight,71,0,71,2.6,1,1,2025-08-07
九,nine,59,10,69,2.6,1,1,2025-08-07
十,ten,49,2,51,2.6,1,1,2025-08-07
做,do; make,33,9,42,2.5,0,0,1970-01-01
去,go,14,2,16,2.7,4,2,2025-08-07
来,come,14,1,15,2.7,4,2,2025-08-07
吃,eat,19,1,20,2.7,6,2,2025-08-12
喝,drink,19,1,20,2.7,6,2,2025-08-12
明天,tomorrow,28,4,32,2.5,0,0,1970-01-01
昨天,yesterday,28,3,31,2.6,1,1,2025-08-07
写,write,14,2,16,2.7,4,2,2025-08-07
读,read,15,0,15,2.7,4,2,2025-08-07
坐,sit,19,1,20,2.7,6,2,2025-08-12
站,stand,18,2,20,2.7,6,2,2025-08-12
火,fire,17,0,17,2.6,1,1,2025-08-07
木,wood; tree,17,0,17,2.6,1,1,2025-08-07
土,earth; soil,6,0,6,2.6,1,1,2025-08-07
口,mouth,17,0,17,2.6,1,1,2025-08-07
目,eye,33,0,33,2.6,1,1,2025-08-07
手,hand,17,0,17,2.6,1,1,2025-08-07
心,heart; mind,17,0,17,2.6,1,1,2025-08-07
女,woman; female,25,2,27,2.6,1,1,2025-08-07
百,hundred,14,1,15,2.7,4,2,2025-08-07
千,thousand,13,2,15,2.7,4,2,2025-08-07
上,up; above,14,1,15,2.7,4,2,2025-08-07
